playas,pueblos_magicos,entretenimiento,restaurantes,camping,paseos,zonas_arq,deportes_ext
Valle de Bravo,Ixtapan de la Sal,Museo Taller Luis Nishizawa,Pizzería Nolita,"Camping el Capricho
",Jardín botánico Cosmovitral,Teotihucán,Globo aerostático en Teotihuacán
,Malinalco,Museo del Alfeñique,Casa La Troje,Centro Ecoturistico Dëni,,Santa Cecilia Acatitlán,Nevado de Toluca
,Tepotzotlán,Museo del Hombre de Tepexpan,Culichioso,Las Cascadas,Malinalco,Tenayuca,Parque La Marquesa
,Metepec,Museo de Historia Natural de Ecatepec,Lusso,InhalaMx,Bioparque Estrella,Tecaxic-Calixtlahuaca,Parque La Marquesa
,Aculco,,Mochomos,Cerro De La Bufa,Torres de Satélite,Teotenango,Parque Ecológico Xochitla
