playas,pueblos_magicos,entretenimiento,restaurantes,camping,paseos,zonas_arq,deportes_ext
,San Andrés Míxquic,Museo Soumaya,Pujol,Peña de Lobos,Paseo de la Reforma,Templo Mayor,
,San Francisco Tlaltenco,Museo Jumex,Carajillo,Malikualli,Centro Historico,Templo Mayor,
,San Miguel Ajusco ,Castillo de Chapultepec,Quintonil,La Marquesa,Polanco,Tlatelolco,
,San Miguel Xicalco   ,Museo de Memoria y Tolerancia,Belfiore,Ajusco,Insurgentes,Cerro de la Estrella,
,Santo Tomás Ajusco,Casa de Frida Kahlo y Diego Rivera,Merotoro,Xitle,Alameda Central,Mixcoac,
