Celestun,Izamal,Acuario Dolphin Discovery Costa Maya,Museo de la Gastronomia Yucateca,Parque ecoturistico de Jatun de Celestun,Hacienda Sotuta de Peon,Chichén Itzá,Rappel en Yokdzonot
Chelem,Valladolid,Acuario Iteractivo,La casa de la Mestiza ,Chabihau,,Mayapan,Paramotor en Chuburna
Chicxulub,Maní,Museo Comunitario U Yotoch Cah,Restaurante Ya-axká,,Suytun Cenote,Acanceh,Espeleobuceo en Cenotes
Chuburna,Sisal,Museo de arte Sacro de Conkal,,,,Sayil,Tour nocturno po Rio Lagartos
Dzilam Bravo,,Parque Xcaret,,,,Kabah,Aventuras 4x4
