La Entrega,San Pablo Villa de Mitla,Acuario Baby Shark,La hosteria de Alcala,Selva de los Chimalapas,Mitla,Monte Albán,Peña Colorada
Playa Zicatela,Huautla de Jimenez,Acuario Acuarista Oaxaca,Restaurante Catedral,Santiago Apoala,Tule,Atzompa,La Meca
San Augustin,Capulalpam de Mendez,Museo de las Culturas Oaxaca,Comedor Tipico La Abuelita,Capulalpam,Tlacolula,Dainzú,Yagul
Carrizalillo,San Pedro y San Pablo Teposcolula,Museo Textil de Oaxaca,La casa del Tio Guëro,Latuvi,Teotilán,Mitla,
Bacocho,Juquila,Diversiones Poing Poing,Expendio Tradicion,Sierra Norte,,Yagul,
